Date,User,Tweet,Retweets,Likes,Followers
2024-08-20 13:46:11+00:00,1682763165434802177,"Qualcomm's latest Snapdragon 7s Gen 3 brings high-end features to affordable phones. On-device AI, a 40% faster GPU, improved camera capabilities, and an overall performance boost make this a game-changer. Expect it in upcoming devices from major manufacturers like Xiaomi,… https://t.co/214yLX8dwn https://t.co/UpR0J8D7xP",0,0,1046
2024-08-20 13:46:02+00:00,1685416081693827072,@SilverShield76 I have been testing its taxonomic capabilities and it fails at identifying denotata. AI default weights towards significata and therefore cannot sort. It cannot identify and classify even simple objects correctly.,0,0,328
2024-08-20 13:46:02+00:00,25098482,Crypto mining and AI data centers could account for 1.2% of global carbon emissions by 2027. Introducing targeted electricity taxes could reduce emissions and raise significant government revenue. More in our blog. https://t.co/VcpLg7UBv4 https://t.co/vXs73IpStZ,1,1,2282302
2024-08-20 13:45:44+00:00,1459210493017694217,"RT @blazpaylabs: We are thrilled to announce our partnership with @SoluAI_net ! 🤝

SoluAI is redefining blockchain capabilities with their…",58,0,132
2024-08-20 13:45:39+00:00,1328963134762213377,@tussiwe @vidnoz_official AI’s capabilities are really expanding. Thanks for the tip.,0,0,36395
2024-08-20 13:45:35+00:00,1262189204,"RT @HostingJournal: #AI AMD Aims to Strengthen AI Capabilities, Acquires ZT Systems for $4.B https://t.co/VFrD0L7iEz https://t.co/xqLtxj4wiT",0,0,2411
2024-08-20 13:45:35+00:00,3368200420,"RT @StrathCIPIT: Today at 4:15pm EAT

@StrathCIPIT's Dr @MelissaOmino will be speaking alongside @RIAnetwork's Dr @alison_gillwald &amp; @Afide…",5,0,602
2024-08-20 13:45:32+00:00,1812167750359638016,"RT @emollick: The first predictable bad effect of AI, easy deepfakes, is already here thanks to open Flux, and there has been remarkably li…",11,0,6
2024-08-20 13:45:05+00:00,34083740,"We're pumped to share this free guide with practical steps for using AI easily and effectively while minimizing risk. 🙌 

Thank you @JStaatsCPA for the collaboration. 🤝

Grab your copy today. 👉 https://t.co/tOuN8bAjiV https://t.co/MUxLOOukks",0,0,11652
2024-08-20 13:45:01+00:00,1421382467156537347,"Camera Capabilities: A versatile triple-camera setup with a 50MP primary sensor (OIS), 13MP ultrawide, and 10MP telephoto lens. AI features enhance photography with modes like Adaptive Stabilization and Advanced Long Exposure. #mobilephotography #camera #sony #motoedge50",0,0,5
2024-08-20 13:44:46+00:00,1799768437788389376,"RT @CodiumAI: Why are 650k+ developers switching from GitHub Copilot to CodiumAI?

- AI calls for coding and testing.🚀
- Chat with many com…",682,0,7
2024-08-20 13:44:09+00:00,760935442548199428,RT @RANDCorporation: What do policymakers on both sides of the Atlantic need to know about AI governance issues? And how can leaders in Was…,13,0,256
2024-08-20 13:43:54+00:00,2484582912,"RT @emollick: The first predictable bad effect of AI, easy deepfakes, is already here thanks to open Flux, and there has been remarkably li…",11,0,2520
2024-08-20 13:43:54+00:00,1444998519400632322,"RT @mind_basic: @JimFergusonUK I've used my Desilo app on Jim's post to evaluate it with AIs, and it scores a double ""Conspiracy Theory"" an…",0,0,385
2024-08-20 13:43:51+00:00,401773648,RT @histoftech: I’d probably not be saying this if it weren’t for the fact that the many parties &amp; people questioning generative AI’s curre…,5,0,37240
2024-08-20 13:43:16+00:00,1500781467282309122,"RT @metabitball: 🚀 BitBall 🤝 JarvisBot 🚀
We’re excited to announce our strategic partnership with @JarvisBot_AI , an advanced Web3 AI platf…",5,0,54
2024-08-20 13:42:46+00:00,34083740,"RT @JStaatsCPA: Excited to launch this one!

A free AI usage policy for your accounting firm

IMO the sooner you can responsibly cut your t…",2,0,11652
2024-08-20 13:42:37+00:00,1696774422550769664,"RT @CodiumAI: Why are 650k+ developers switching from GitHub Copilot to CodiumAI?

- AI calls for coding and testing.🚀
- Chat with many com…",682,0,77
2024-08-20 13:41:58+00:00,1512441282102435841,"RT @emollick: The first predictable bad effect of AI, easy deepfakes, is already here thanks to open Flux, and there has been remarkably li…",11,0,13563
2024-08-20 13:41:30+00:00,842860575289819136,RT @WorldSummitAI: Ready to unleash the beast at #WSAI24? @GroqInc's Mark Heaps will dive deep into the world's first LPU and its significa…,1,0,57307
2024-08-20 13:40:43+00:00,1311485641847459840,"@Aron_Adler @_maestro_04 Well I mean, the success of nerve-stapling RLHF fine-tuning does lead me to believe that it is actually much easier to align AI than to align humans (hence the governance thesis)",0,0,1810
2024-08-20 13:40:39+00:00,1825873770503958529,"RT @eesee_io: 🎉 Introducing the New IRO on Eesee Launchpad: @miradaai

💡 Mirada AI is an advanced AI ecosystem offering a great variety of…",887,0,0
2024-08-20 13:40:38+00:00,498691322,"RT @legalcheek: ⭐ Applications are OPEN for our upcoming virtual student event 'AI, risk and regulation — with @ClydeCoNews', taking place…",2,0,8338
2024-08-20 13:40:11+00:00,1736698861895507968,"RT @CodiumAI: Why are 650k+ developers switching from GitHub Copilot to CodiumAI?

- AI calls for coding and testing.🚀
- Chat with many com…",707,0,2
2024-08-20 13:40:04+00:00,1060036002792783873,RT @PrincetonUPress: Technology and the Rise of Great Powers by @jjding99 offers a novel theory of how technological revolutions affect the…,3,0,3766
2024-08-20 13:39:41+00:00,1687377630645956608,"RT @xion_space: XionSpace is ready for takeoff! 🚀

Our platform revolutionises the way users interact with digital assets.

It seamlessly i…",309,0,13
2024-08-20 13:39:27+00:00,1568971042785312768,"RT @elder_plinius: I’m not usually one to call for regulation, but it should be illegal to release an LLM trained on public data (our data)…",49,0,1316
2024-08-20 13:38:58+00:00,1792196148263784448,@Phron_ai How does @Phron_ai plan to incorporate community governance in its AI model training and updates? Are there specific mechanisms in place for users to contribute to and influence AI development?,0,0,829
2024-08-20 13:38:57+00:00,1175377309676781568,"RT @KanezaDiane: Thanks for tagging me Tony!
Investing in #data capabilities is crucial
“Lean innovation,trial and error, and empowering bu…",1,0,13209
2024-08-20 13:38:45+00:00,3302504669,"RT @oiioxford: “Regulation is really good for everybody.  It is establishing AI as a sustainable, ethical and human rights abiding tool” sa…",2,0,34355
2024-08-20 13:36:48+00:00,1801465068682354689,"RT @ILIKELMofficial: [ I LIKE LM’s AI Contents Policy ]
 
It is important to differentiate between content that uses AI and content that do…",30,0,124
2024-08-20 13:36:28+00:00,1775047802940456961,"RT @CodiumAI: Why are 650k+ developers switching from GitHub Copilot to CodiumAI?

- AI calls for coding and testing.🚀
- Chat with many com…",707,0,0
